id,claim,evidence,cited_doc_ids,topic_id
2,1 in 5 million in UK have abnormal PrP positivity.,"{'13734012': [{'sentences': [4], 'label': 'CONTRADICT'}]}",[13734012],5
9,32% of liver transplantation programs required patients to discontinue methadone treatment in 2001.,"{'44265107': [{'sentences': [15], 'label': 'SUPPORT'}]}",[44265107],3
12,40mg/day dosage of folic acid and 2mg/day dosage of vitamin B12 does not affect chronic kidney disease (CKD) progression.,"{'33409100': [{'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}]}",[33409100],8
22,76-85% of people with severe mental disorder receive no treatment in low and middle income countries.,"{'6490571': [{'sentences': [7], 'label': 'SUPPORT'}]}",[6490571],3
28,A T helper 2 cell (Th2) environment impedes disease development in patients with systemic lupus erythematosus (SLE).,"{'12670680': [{'sentences': [1], 'label': 'CONTRADICT'}, {'sentences': [2], 'label': 'CONTRADICT'}, {'sentences': [4], 'label': 'CONTRADICT'}]}",[12670680],7
30,A breast cancer patient's capacity to metabolize tamoxifen influences treatment outcome.,"{'24341590': [{'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}, {'sentences': [12], 'label': 'SUPPORT'}, {'sentences': [13], 'label': 'SUPPORT'}]}",[24341590],1
32,A country's Vaccine Alliance (GAVI) eligibility is not indictivate of accelerated adoption of the Hub vaccine.,"{'12428497': [{'sentences': [8], 'label': 'CONTRADICT'}]}",[12428497],3
34,A deficiency of folate increases blood levels of homocysteine.,"{'11705328': [{'sentences': [4], 'label': 'SUPPORT'}]}",[11705328],8
39,A diminished ovarian reserve does not solely indicate infertility in an a priori non-infertile population.,"{'13497630': [{'sentences': [7], 'label': 'SUPPORT'}, {'sentences': [8], 'label': 'SUPPORT'}, {'sentences': [9], 'label': 'SUPPORT'}, {'sentences': [10], 'label': 'SUPPORT'}, {'sentences': [11], 'label': 'SUPPORT'}]}",[13497630],3
40,"A diminished ovarian reserve is a very strong indicator of infertility, even in an a priori non-infertile population.","{'13497630': [{'sentences': [7], 'label': 'CONTRADICT'}, {'sentences': [8], 'label': 'CONTRADICT'}, {'sentences': [9], 'label': 'CONTRADICT'}, {'sentences': [10], 'label': 'CONTRADICT'}, {'sentences': [11], 'label': 'CONTRADICT'}]}",[13497630],3
